symbol,security,country,gics_sector,gics_sub_industry,categories
CTMX,CytomX Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CTO,CTO Realty Growth,United States,Real Estate,Real Estate Investment Trusts,
CTOS,Custom Truck One Source,Cayman Islands,Consumer Discretionary,Diversified Commercial Services,
CTR,ClearBridge MLP and Midstream Total Return Fund,United States,Finance,Investment Managers,
CTRA,Coterra Energy,United States,Energy,Oil & Gas Production,"[""1989 establishments in Texas"", ""Companies based in Houston"", ""Companies listed on the New York Stock Exchange"", ""Natural gas companies of the United States"", ""Non-renewable resource companies established in 1989""]"
CTRE,CareTrust REIT,United States,Real Estate,Real Estate Investment Trusts,
CTRN,Citi Trends,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,"[""Companies based in Savannah, Georgia"", ""American companies established in 1958"", ""Retail companies established in 1958"", ""Clothing retailers of the United States"", ""1958 establishments in Georgia (U.S. state)"", ""Companies listed on the Nasdaq""]"
CTS,CTS Corporation,United States,Technology,Industrial Machinery/Components,
CTSH,Cognizant Technology Solutions Corporation,United States,Technology,EDP Services,"[""Consulting firms established in 1994"", ""Companies based in Bergen County, New Jersey"", ""International information technology consulting firms"", ""Information technology consulting firms of the United States"", ""Management consulting firms of the United States"", ""Outsourcing companies"", ""American companies established in 1994"", ""1994 establishments in New Jersey"", ""Teaneck, New Jersey"", ""Dun & Bradstreet"", ""Corporate spin-offs"", ""1998 initial public offerings"", ""Technology companies established in 1994""]"
CTSO,Cytosorbents Corporation,United States,Health Care,Medical/Dental Instruments,"[""Companies based in New Jersey"", ""Companies listed on the Nasdaq"", ""Medical technology companies of the United States""]"
CTV,Innovid Corp.,,Consumer Discretionary,Advertising,"[""Marketing companies established in 2007"", ""American companies established in 2007"", ""2007 establishments in New York City"", ""Companies based in New York City"", ""Digital marketing companies of the United States""]"
CTVA,Corteva,United States,Materials,Fertilizers & Agricultural Chemicals,"[""Agriculture companies established in 2019"", ""DuPont"", ""American companies established in 2019"", ""Companies listed on the New York Stock Exchange"", ""Companies based in Indianapolis"", ""Corporate spin-offs""]"
CTXR,Citius Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CUBA,Herzfeld Caribbean Basin Fund (The),United States,Finance,Investment Managers,
CUBI,Customers Bancorp,United States,Finance,Major Banks,"[""Banks of the United States""]"
CUE,Cue Biopharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CUEN,Cuentas,United States,Technology,Computer Software: Prepackaged Software,
CULL,Cullman Bancorp,United States,Finance,Savings Institutions,
CULP,Culp,United States,Consumer Discretionary,Textiles,
CURI,CuriosityStream,United States,Consumer Discretionary,Movies/Entertainment,"[""2015 establishments in Maryland"", ""2020 initial public offerings"", ""American companies established in 2015"", ""Companies based in Silver Spring, Maryland"", ""Companies listed on the Nasdaq"", ""Documentary film production companies"", ""Film production companies of the United States"", ""Internet properties established in 2015"", ""Mass media companies established in 2015"", ""Special-purpose acquisition companies"", ""Streaming television in the United States"", ""Subscription video on demand services""]"
CURO,CURO Group Holdings Corp.,United States,Finance,Finance: Consumer Services,
CURV,Torrid Holdings,,Consumer Discretionary,Clothing/Shoe/Accessory Stores,"[""Clothing retailers of the United States"", ""Retail companies established in 2001"", ""American companies established in 2001"", ""Companies based in the City of Industry, California"", ""2001 establishments in California"", ""Companies listed on the New York Stock Exchange"", ""2021 initial public offerings"", ""Clothing companies established in 2001"", ""2000s fashion"", ""2010s fashion""]"
CUTR,Cutera,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
CUZ,Cousins Propertiesorporated,United States,Real Estate,Real Estate Investment Trusts,
CVBF,CVB Financial Corporation,United States,Finance,Major Banks,
CVCY,Central Valley Community Bancorp,United States,Finance,Major Banks,
CVE,Cenovus Energy,Canada,Energy,Oil & Gas Production,"[""Oil companies of Canada"", ""Natural gas companies of Canada"", ""Companies based in Calgary"", ""Canadian companies established in 2009"", ""Energy companies established in 2009"", ""Non-renewable resource companies established in 2009"", ""Companies listed on the New York Stock Exchange"", ""Companies listed on the Toronto Stock Exchange"", ""S&P/TSX 60"", ""Corporate spin-offs"", ""2009 establishments in Alberta""]"
CVGI,Commercial Vehicle Group,United States,Consumer Discretionary,Auto Parts:O.E.M.,
CVGW,Calavo Growers,United States,Consumer Discretionary,Specialty Foods,"[""Agriculture companies of the United States"", ""Agriculture in California"", ""Companies based in Ventura County, California"", ""Santa Paula, California"", ""History of Ventura County, California"", ""American companies established in 1924"", ""Food and drink companies established in 1924"", ""1924 establishments in California"", ""Companies listed on the Nasdaq""]"
CVI,CVR Energy,United States,Energy,Integrated oil Companies,
CVII,Churchill Capital Corp VII,,Finance,Blank Checks,
CVKD,Cadrenal Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products ,
CVLG,Covenant Logistics Group,United States,Industrials,Trucking Freight/Courier Services,"[""Companies based in Chattanooga, Tennessee"", ""Trucking companies of the United States"", ""Companies listed on the Nasdaq"", ""Transportation companies based in Tennessee"", ""Transport companies established in 1986"", ""American companies established in 1986"", ""1986 establishments in Tennessee""]"
CVLT,Commvault Systems,United States,Technology,Computer Software: Prepackaged Software,"[""Software companies of the United States"", ""Software companies based in New Jersey"", ""Companies based in Monmouth County, New Jersey"", ""Tinton Falls, New Jersey"", ""Software companies established in 1996"", ""Companies listed on the Nasdaq"", ""Backup software"", ""Data protection"", ""Data management software"", ""Disaster recovery"", ""2006 initial public offerings"", ""1996 establishments in the United States"", ""1996 establishments in New Jersey"", ""Companies established in 1996""]"
CVLY,Codorus Valley Bancorp,United States,Finance,Savings Institutions,
CVM,Cel-Sci Corporation,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"[""Orphan drug companies"", ""Biotechnology companies established in 1983"", ""Life sciences industry""]"
CVNA,Carvana Co.,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,"[""2017 initial public offerings"", ""Companies listed on the New York Stock Exchange"", ""Automotive websites"", ""Online automotive companies of the United States"", ""Auto dealerships of the United States"", ""American companies established in 2013"", ""Retail companies established in 2013"", ""Internet properties established in 2013"", ""2013 establishments in Arizona"", ""Companies based in Tempe, Arizona"", ""Used car market""]"
CVR,Chicago Rivet & Machine Co.,United States,Industrials,Industrial Machinery/Components,
CVRX,CVRx,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
CVS,CVS Health Corporation,United States,Consumer Staples,Retail-Drug Stores and Proprietary Stores,"[""CVS Health| "", ""2007 establishments in Rhode Island"", ""American companies established in 2007"", ""Companies based in Providence County, Rhode Island"", ""Companies listed on the New York Stock Exchange"", ""Health care companies based in Rhode Island"", ""Health care companies established in 2007"", ""Pharmacies of the United States"", ""Pharmacy benefit management companies based in the United States"", ""Retail companies established in 2007"", ""Specialty drugs"", ""Woonsocket, Rhode Island""]"
CVU,CPI Aerostructures,United States,Industrials,Military/Government/Technical,"[""Aircraft component manufacturers of the United States"", ""Aerospace companies of the United States"", ""Defense companies of the United States"", ""Manufacturing companies based in New York (state)"", ""American companies established in 1980"", ""Manufacturing companies established in 1980"", ""1980 establishments in New York (state)"", ""Companies based in Greene County, New York""]"
CVV,CVD Equipment Corporation,United States,Technology,Industrial Machinery/Components,
CVX,Chevron Corporation,United States,Energy,Integrated oil Companies,"[""Chevron Corporation| "", ""Multinational oil companies"", ""Oil companies of the United States"", ""Chemical companies of the United States"", ""Algal fuel producers"", ""Automotive fuel retailers"", ""Gas stations in Canada"", ""Gas stations in the United States"", ""Companies based in San Ramon, California"", ""Automotive companies of the United States"", ""Multinational companies headquartered in the United States"", ""Petroleum in California"", ""Companies in the Dow Jones Industrial Average"", ""Companies listed on the New York Stock Exchange"", ""Retail companies established in 1879"", ""Non-renewable resource companies established in 1879"", ""American companies established in 1879"", ""1879 establishments in California"", ""Corporate crime""]"
